id;number_association;name_association;image_association;image_association_content_type;desc_association
1;Health generate;Handmade United States of America;../fake-data/blob/hipster.png;image/png;solid state monitoring
2;calculating primary interface;engineer Berkshire;../fake-data/blob/hipster.png;image/png;Tasty payment
3;real-time Vermont;Chad Central mobile;../fake-data/blob/hipster.png;image/png;open-source SCSI
4;Kwanza indexing Avon;Chief;../fake-data/blob/hipster.png;image/png;indexing transmitting
5;revolutionize;Turnpike;../fake-data/blob/hipster.png;image/png;tan
6;Intelligent;global;../fake-data/blob/hipster.png;image/png;cross-platform invoice Auto Loan Account
7;clicks-and-mortar Awesome Granite Tuna;Officer;../fake-data/blob/hipster.png;image/png;Zambia Health ROI
8;card;Small Plastic Chips Seychelles transmitting;../fake-data/blob/hipster.png;image/png;Mission
9;technologies;invoice deposit Michigan;../fake-data/blob/hipster.png;image/png;Frozen
10;Lodge concept;schemas empowering Mouse;../fake-data/blob/hipster.png;image/png;Games navigate transmit
