id;number_dealership;end_date_dealership;valid_dealership;desc_dealership
1;collaborative compressing haptic;2021-01-02;true;Checking Account Sleek Concrete Cheese
2;ADP orchestrate;2021-01-02;true;Synergistic Chair port
3;Developer Fresh content-based;2021-01-02;false;invoice
4;programming Car;2021-01-02;false;Orchestrator
5;parsing Producer;2021-01-03;true;Managed parsing
6;Berkshire initiatives Table;2021-01-02;true;Borders transparent
7;Fantastic Cotton Cheese turquoise Illinois;2021-01-02;true;Nepalese Rupee Fantastic Granite Table Tasty Wooden Chips
8;digital silver hack;2021-01-02;true;optical
9;sensor Bermudian Dollar (customarily known as Bermuda Dollar) Shore;2021-01-03;true;Macedonia web-enabled
10;Fantastic;2021-01-02;false;program Gorgeous Pa'anga
