id;number_guarding;title_guarding;desc_guarding
1;Parkway Global;Granite Computer;Associate Future Tools
2;Fresh;open-source Jewelery transmit;needs-based productivity Inverse
3;Concrete;Facilitator Buckinghamshire Handmade Steel Shoes;foreground navigate
4;Rubber;override transmitter JSON;Principal Rhode Island Object-based
5;Paraguay Regional;Small Group;application Frozen
6;Fresh Michigan Auto Loan Account;Pakistan Rupee Grass-roots;Small paradigms compressing
7;productize orange Berkshire;bandwidth analyzing;optimizing
8;sensor;Pants;Associate
9;RSS TCP;Director Jewelery silver;user-centric Investment Account deposit
10;Communications;Intelligent Metal Bacon Alabama;object-oriented Harbor Jewelery
