id;number_insurance;end_date_insurance;valid_insurance;desc_insurance
1;Direct Metal Optimization;2021-01-02;false;transmitting
2;card Points;2021-01-02;true;Shirt Handmade Cotton Car Puerto Rico
3;white platforms Plastic;2021-01-02;false;SSL
4;Lane;2021-01-02;true;alarm
5;SSL;2021-01-02;true;Generic
6;Home Loan Account deposit;2021-01-03;true;orange bypassing regional
7;Sleek;2021-01-03;true;Coordinator Ergonomic
8;Infrastructure SAS;2021-01-02;false;deposit copying Personal Loan Account
9;Somoni mobile;2021-01-03;false;Dynamic payment
10;schemas Centers Manager;2021-01-03;true;web services
