id;number_membership;amount_membership;start_date_membership;end_date_membership;valid_membership;desc_membership
1;streamline input;36798;2021-01-02;2021-01-02;false;Rubber quantify
2;archive reboot THX;32261;2021-01-03;2021-01-02;false;Front-line Liechtenstein global
3;Multi-tiered Antarctica (the territory South of 60 deg S);90450;2021-01-03;2021-01-02;true;Berkshire
4;Soft generating generate;3939;2021-01-02;2021-01-02;false;Forest Factors
5;invoice;47769;2021-01-03;2021-01-03;true;quantifying port Shirt
6;Secured connect;79611;2021-01-03;2021-01-02;false;hacking Bike
7;deploy Uzbekistan Sum copy;59273;2021-01-03;2021-01-03;false;Ramp contextually-based Architect
8;Awesome Borders;77613;2021-01-02;2021-01-02;false;global networks bypass
9;Sweden Soap microchip;14986;2021-01-03;2021-01-02;false;Bacon action-items Roads
10;Associate Checking Account Micronesia;97096;2021-01-02;2021-01-03;false;aggregate
