id;number_type_doc;title_type_doc;desc_type_doc
1;Savings Account Computer;Berkshire Games;solid state copying Senior
2;Representative;Quality;Pizza Texas harness
3;4th generation Avon Georgia;withdrawal;Florida rich Maryland
4;Fundamental;background;supply-chains Home Loan Account vortals
5;Oregon;out-of-the-box interfaces Savings Account;Outdoors full-range
6;high-level;haptic;COM initiatives
7;relationships;Oregon deposit;Unbranded Music
8;invoice Borders Planner;Berkshire gold XSS;Forward Face to face Rial Omani
9;parse Computers withdrawal;monitor haptic;ADP Gorgeous Soft Keyboard Infrastructure
10;Total turquoise Ergonomic Concrete Pants;Rubber Licensed Plastic Hat;Ergonomic Frozen Table Trinidad and Tobago Dollar
