id;number_vehicle;title_vehicle;desc_vehicle
1;SMS Program;24/7 Vision-oriented connecting;Portugal
2;transmit Small Plastic Sausages indexing;New Jersey;panel overriding redundant
3;Multi-tiered silver;Associate;invoice Streets
4;Tasty;maximize Architect Fresh;Beauty Solomon Islands Dollar Auto Loan Account
5;Texas Investment Account Mills;gold;interfaces efficient SDD
6;wireless navigating Pataca;knowledge base gold;JSON COM
7;Representative Arkansas Brand;zero defect;Bacon
8;copy;Future;Towels Practical Frozen Mouse
9;Rustic;deploy Gloves Fresh;green
10;PNG;analyzing Interactions deposit;Expanded Colombian Peso Unidad de Valor Real
